ID,numax,dnu,teff,bp_rp,eps,d02,alpha,env_height,env_width,mode_width
KIC11124920,1.63367200588222,0.671749680655565,3.66875854175096,1.27132701873779,1.05492197790674,-0.177604965349077,-1.86505925090729,1.0176204187921,0.783652812950678,-1.02663410521503
KIC11125664,1.43164222552285,0.542114831239057,3.69037330691606,1.28511142730713,0.905609623052888,-0.298052887118208,-2.35918658503455,0.968892606775078,0.516506641671821,-1.18705319929806
KIC11125699,1.7693764396519,0.777958711982213,3.66162340922923,1.32878971099854,1.0936865834974,-0.088252837067545,-1.87968011456104,1.18820689886104,0.895172144301874,-1.04118453322297
KIC11126204,1.93478233379381,0.884313504738801,3.71407816498186,1.20243549346924,1.11614212465994,-0.014144785833974,-2.09542107689374,1.1361603934369,1.01547890228266,-0.920773073783049
KIC11126350,1.44081354914663,0.54053688140656,3.68322720604143,1.36916255950928,0.945511496178631,-0.333479219913115,-1.53482762584518,0.807254419230959,0.682023113575605,-1.10871764766482
KIC11126517,1.75725410214475,0.757922372364507,3.65465775464952,1.43578338623047,1.09403266705812,-0.113111318616846,-1.9058252994614,1.06511356000847,0.927210095750008,-1.01170630761148
KIC11126673,1.74648732010231,0.753462170355009,3.68142215572101,1.25293159484863,1.08736445347164,-0.109763313128705,-2.03457375702856,1.23819833329529,0.80550221891488,-1.05590921424656
KIC11126721,1.48130293066728,0.559814894696484,3.66501782541247,1.45618057250977,0.867801177173023,-0.259045035669661,-1.60568025176848,0.548016194870618,0.776091863560328,-0.953023808463066
KIC11127105,2.28494119246226,1.18129772188358,3.69010743945633,1.24405384063721,1.31584554445705,0.293915385722559,-2.23358196960032,1.43047925702933,1.27126723452641,-0.747225406742717
KIC11127479,3.28104340972641,1.95876041789624,3.77800646142351,0.798605918884277,1.3424280816818,0.67896772095366,-3.24424738805578,0.166373326687842,2.25251002840264,0.062471568978606
KIC11127586,1.90112551442449,0.877251555312758,3.70774045427377,1.17212867736816,1.12219459027933,0.002727705386337,-1.91964651651408,1.1647639902765,1.01010525872354,-0.917562146883964
KIC11127815,1.9009003371067,0.889416617662803,3.71045586433542,1.212477684021,1.16507416618294,0.032747417866861,-1.98901791978233,1.23557806852809,0.961730388954599,-0.956271770831024
KIC11127861,1.57782066954075,0.614103474812991,3.70380706527433,1.26227474212646,0.946126632048192,-0.220697310023125,-1.72018598095718,0.486572851526695,0.83612702109866,-0.890359634295488
KIC11127981,1.82205622348403,0.815101907194631,3.66950283410434,1.33753490447998,1.1116067322046,-0.053453080086106,-1.98738721336702,1.2916221122222,0.886103890267823,-1.00695192869226
KIC11128910,1.57029675493208,0.617213324256269,3.69319914515372,1.21017932891846,0.859273210111324,-0.20039065560758,-1.84062642445179,0.534425025093731,0.786993104168193,-0.881618011001598
KIC11129153,1.46032662985659,0.569474137311871,3.68394713075151,1.29165649414063,0.793857258422501,-0.350851309575513,-1.58682312202945,0.271735075053413,0.748756545645685,-0.934779696076932
KIC11129191,1.91079200980142,0.887477537033777,3.68322720604143,1.22993659973145,1.14613393345023,0.02352626371711,-1.93625460720908,1.171170904886,1.04044364888158,-0.936907778511351
KIC11129442,1.58098977909807,0.634147530462337,3.67403400043126,1.38478565216064,1.00001324155451,-0.226760087419211,-1.69242914926269,1.0610365281976,0.760380204706215,-1.13710138256379
KIC11129480,1.64826323363759,0.677209268475443,3.69046189324618,1.26910018920898,1.05088592523291,-0.344562551706953,-2.04028010118075,0.842399979600389,0.757039102812666,-1.07752483797485
KIC11129788,1.55135399937248,0.623008787216211,3.69495600224982,1.1775074005127,0.636868696729875,-0.379245608761682,-1.8026679348864,0.830415239256161,0.692556353073107,-0.962638065109193
KIC11129945,1.70543711907799,0.685687925795453,3.69897000433602,1.21543693542481,0.957393274482816,-0.175511710988953,-1.89539514272763,0.545277027677421,0.929681297248806,-0.787998301863097
KIC11133158,1.95646420212926,0.934196586316076,3.71273385906995,1.2144889831543,1.17355964309172,0.057667153976491,-1.9475986658603,1.24219079449279,1.02908392870327,-0.933214406889836
KIC11133969,1.48275120712987,0.570056729520348,3.68214507637383,1.24195575714111,0.85493244471017,-0.191274608171216,-1.66896149675549,0.303306618535403,0.758969141309007,-0.93726120071852
KIC11134392,2.19318671927978,1.09309188423398,3.72648269678483,1.16024017333984,1.25508069844928,0.199969090141313,-2.36507804683372,1.04428299240447,1.19606837881174,-0.822390425612551
KIC11134405,1.65772798312853,0.674784657177333,3.70509361054787,1.23403072357178,0.969165836384545,-0.160729338678484,-1.82124449232153,0.657601164316332,0.893975533371426,-0.891513895311737
KIC11134475,1.55509322274634,0.594107481981181,3.70969386972779,1.20362567901611,0.901007959201146,-0.236042146150897,-1.94162681375681,0.505136545654104,0.804519635467868,-0.940233865634389
KIC11134761,2.22710473281246,1.14308343613277,3.69019608002851,1.26369094848633,1.29297320179905,0.272637292019551,-2.47927581226362,0.672495630462089,1.18006884130772,-0.913093400693538
KIC11134982,2.01679758768989,0.937773779152235,3.7008767083769,1.22536754608154,1.14507854893306,0.014705797145188,-1.9840921035786,1.22745151504279,1.12670018393114,-0.875737689749102
