ID,bkg_numax,bkg_envWidth,bkg_envHeight,H1_power,H1_nu,H1_exp,H2_power,H2_nu,H2_exp
KIC8555588,1.5610493955179516,0.8930912407119713,3.568173877828152,5.1131110722961,1.563494345175601,4.084980049061953,5.277212336418924,0.9834994360476812,3.8070855235174896
KIC8555599,1.804261495035013,0.8581421140809704,3.4325924223249435,4.946663231805915,1.820192354747478,4.911978365760679,5.003281455604106,1.2401120194367314,4.162939538105334
KIC8555914,1.5480864665933476,0.7432245948659133,3.779551285172735,5.087907126496596,1.561992835310499,4.048240115810202,5.214750779336426,1.0612327736695355,4.341741189628903
KIC8556078,1.6671250386236007,0.8746394416710548,3.196661544368021,4.782949212943922,1.6294552213663336,3.7150765979444773,4.949001661335772,1.114019423771228,3.537774769828988
KIC8557457,1.5306612445012246,0.6648049841151434,3.754076951516144,5.071907204310973,1.520739959025636,3.894189915253279,5.210413702246248,1.021657209067794,3.8563231000492584
KIC8557678,1.5081189631077885,0.7221297075014084,3.771605197656642,4.970274455297746,1.5491477391208346,3.9234425035527596,5.247718942132292,1.0471507999831764,3.529993099529254
KIC8558329,1.6856050294249332,0.9207309312366772,3.3369877655477738,4.804471923527953,1.678719619569227,4.163209260660439,5.039139982319355,1.1255039023992524,3.1736428343450998
KIC8558629,1.5191335728203672,0.672261263079218,3.937642399681363,5.136967703218201,1.5338133793418471,4.060830225239123,5.338069675278222,1.0052683050456623,3.7415693025985814
KIC8558846,1.5182904409832476,0.615910425223666,3.898341577141536,5.222161237075331,1.50722651586917,4.2837263519201,5.34749660863318,0.9595180703030464,3.822498249759419
KIC8559852,1.4398282680456966,0.7362266673438677,3.904934742555133,5.294946646113911,1.450913358222967,4.14126520759104,5.378400100511514,0.9387313745779436,4.236594708402096
KIC8560056,2.0149528363321543,1.011699492454919,2.8799466963682185,4.518080743518252,2.0345818691679547,4.883534796525596,4.7086856718532015,1.4177941127628153,3.2746384787646905
KIC8560280,2.218908259222588,1.1065771783864529,2.5185595116599258,4.597990310747108,2.210604343501928,1.8414507129068847,4.4391569919263,1.614311221002933,3.7611236492130664
KIC8560306,1.7047357024719816,0.8742347064296799,3.388715857245875,4.886164279967476,1.690687768628516,3.9119241532644775,5.123758014130714,1.1676873292691303,3.7188706427845855
KIC8560398,1.510821273790953,0.7456364651050615,3.458132882035209,4.761792286588178,1.516586570256705,3.536381434226245,4.963675664949706,1.014913075966359,3.5512704397271007
KIC8560475,1.5135333195614118,0.7140077213220387,3.7304888668270495,4.934710212310296,1.532208435838592,3.565063936764866,5.303846894429279,1.011777887081959,3.224978972703925
KIC8560949,1.4906936717685049,0.7174354535713872,3.958346238771383,5.222386505225607,1.5209928670305688,4.291335376811565,5.466150009951607,0.9892292169155614,3.981815111686556
KIC8561126,1.5463286597531718,0.7626855343591243,3.681026348564537,5.050615330705561,1.5633253435339356,4.141812422670089,5.208740863263053,1.024690391744649,4.48107245417813
